"","full_name","month","anom.abs"
"173","Kansas",5,1.14529322979835
"174","Kansas",6,1.35132271052006
"175","Kansas",7,1.0753978155515
"176","Kansas",8,1.27338223878231
"177","Kansas",9,1.29654151526676
"178","Kansas",10,0.96843775781552
"179","Kansas",11,1.83334355364965
"180","Kansas",12,2.09831287456909
"181","Kentucky",1,1.976221150844
"182","Kentucky",2,1.85841568747149
"183","Kentucky",3,1.64534767109133
"184","Kentucky",4,1.36617642368122
"185","Kentucky",5,1.3789009779212
"186","Kentucky",6,0.942739822624253
"187","Kentucky",7,0.90273848188262
"188","Kentucky",8,1.09392009322332
"189","Kentucky",9,1.07190614368619
"190","Kentucky",10,1.06210953345987
"191","Kentucky",11,1.60541392953105
"192","Kentucky",12,2.02810870096751
"193","Louisiana",1,1.67409516971198
"194","Louisiana",2,1.40851171164865
"195","Louisiana",3,1.34701892119836
"196","Louisiana",4,1.0766390980368
"197","Louisiana",5,0.693384223816829
"198","Louisiana",6,0.692670254103981
"199","Louisiana",7,0.513772956571938
"200","Louisiana",8,0.711188755834681
"201","Louisiana",9,0.815802593461403
"202","Louisiana",10,0.875268147089529
"203","Louisiana",11,1.34210862307171
"204","Louisiana",12,1.64288732115008
"205","Maine",1,1.93140868642411
"206","Maine",2,1.7506618227157
"207","Maine",3,1.34732118154478
"208","Maine",4,0.812289711061258
"209","Maine",5,0.930404865930979
"210","Maine",6,0.732246713126135
"211","Maine",7,0.800753640604616
"212","Maine",8,0.764989273226727
"213","Maine",9,0.818551744481587
"214","Maine",10,0.953359375452538
"215","Maine",11,1.1136410233051
"216","Maine",12,1.85984815805005
"217","Maryland",1,1.97931944431902
"218","Maryland",2,1.69243413355376
"219","Maryland",3,1.51411926690611
"220","Maryland",4,0.953866064753354
"221","Maryland",5,1.22353567040475
"222","Maryland",6,0.844933050752852
"223","Maryland",7,0.968105873820675
"224","Maryland",8,1.00312797787308
"225","Maryland",9,0.860765340552254
"226","Maryland",10,1.02261530262537
"227","Maryland",11,1.34688542835762
"228","Maryland",12,1.93238962818143
"229","Massachusetts",1,1.79305807393511
"230","Massachusetts",2,1.50771081620889
"231","Massachusetts",3,1.15557848207492
"232","Massachusetts",4,0.784104198547762
"233","Massachusetts",5,0.911809977143612
"234","Massachusetts",6,0.786155302630499
"235","Massachusetts",7,0.894981781388211
"236","Massachusetts",8,0.724860805665156
"237","Massachusetts",9,0.806885777473397
"238","Massachusetts",10,0.831995084298138
"239","Massachusetts",11,1.01434505882812
"240","Massachusetts",12,1.70297860401506
"241","Michigan",1,2.16802331922835
"242","Michigan",2,2.1204483178187
"243","Michigan",3,1.74309437865022
"244","Michigan",4,1.20430476571761
"245","Michigan",5,1.43061186625583
"246","Michigan",6,0.998627122567863
"247","Michigan",7,1.1304178397015
"248","Michigan",8,1.07310045175005
"249","Michigan",9,0.89391092837211
"250","Michigan",10,1.13382058943379
"251","Michigan",11,1.42425133591383
"252","Michigan",12,2.06966927755523
"253","Minnesota",1,2.65641417635377
"254","Minnesota",2,2.93146324416301
"255","Minnesota",3,2.20552728203174
"256","Minnesota",4,1.57438135699341
"257","Minnesota",5,1.41001927857355
"258","Minnesota",6,1.13271927114202
"259","Minnesota",7,1.22644661107473
"260","Minnesota",8,1.03941372838057
"261","Minnesota",9,1.17548431078787
"262","Minnesota",10,1.35120796098106
"263","Minnesota",11,2.37032329580984
"264","Minnesota",12,2.80082412810652
"265","Mississippi",1,1.75971055425319
"266","Mississippi",2,1.47428394561551
"267","Mississippi",3,1.47053636617914
"268","Mississippi",4,1.18505302944394
"269","Mississippi",5,0.798538155147316
"270","Mississippi",6,0.799314578504676
"271","Mississippi",7,0.727836852313059
"272","Mississippi",8,0.886998526625302
"273","Mississippi",9,0.908347887685727
"274","Mississippi",10,1.02166798545172
"275","Mississippi",11,1.47141486333072
"276","Mississippi",12,1.86764602302375
"277","Missouri",1,1.91327770660713
"278","Missouri",2,2.26232649837395
"279","Missouri",3,1.80983433253412
"280","Missouri",4,1.48003664163237
"281","Missouri",5,1.24500377250413
"282","Missouri",6,1.0619528426992
"283","Missouri",7,1.02087350696161
"284","Missouri",8,1.26210700621042
"285","Missouri",9,1.15438851338475
"286","Missouri",10,1.04506862421355
"287","Missouri",11,1.72731312484645
"288","Missouri",12,2.13487058807467
"289","Montana",1,2.15516866777226
"290","Montana",2,2.42397302749667
"291","Montana",3,1.8576234554827
"292","Montana",4,1.34610481507968
"293","Montana",5,1.281655089815
"294","Montana",6,1.159057166714
"295","Montana",7,1.28712949521529
"296","Montana",8,1.31351374669213
"297","Montana",9,1.36513248537319
"298","Montana",10,1.18685293789776
"299","Montana",11,2.05431949292979
"300","Montana",12,2.29520180125687
"301","Nebraska",1,2.26561194164008
"302","Nebraska",2,2.6385157581815
"303","Nebraska",3,2.00655217314497
"304","Nebraska",4,1.60404995570473
"305","Nebraska",5,1.27289257379111
"306","Nebraska",6,1.24930493725856
"307","Nebraska",7,1.13373972010386
"308","Nebraska",8,1.11007400915198
"309","Nebraska",9,1.24236221011737
"310","Nebraska",10,1.1081455449914
"311","Nebraska",11,2.10734775541961
"312","Nebraska",12,2.36485718796006
"313","Nevada",1,1.53946338662765
"314","Nevada",2,1.36497355030358
"315","Nevada",3,1.50842468626705
"316","Nevada",4,1.51324732712828
"317","Nevada",5,1.6387153713325
"318","Nevada",6,1.63934330524234
"319","Nevada",7,1.23702456657219
"320","Nevada",8,0.957223987427055
"321","Nevada",9,1.06987977980373
"322","Nevada",10,1.42022685453582
"323","Nevada",11,1.47115450092548
"324","Nevada",12,1.20656096552592
