"","month","year","temp_mean","temp_max","temp_min"
"177",5,2000,29.8056110257723,37.2677419354839,22.2064516129032
"178",5,2001,30.849388421676,38.141935483871,23.3516129032258
"179",5,2002,28.0001574727131,35.2258064516129,20.3516129032258
"180",5,2003,28.7919364685494,35.4741935483871,21.8548387096774
"181",5,2004,29.1531509708929,35.8806451612903,21.6258064516129
"182",5,2005,28.4387971378185,35.2709677419355,21.641935483871
"183",5,2006,29.7038167776071,36.7677419354839,22.2
"184",5,2007,29.5125557701475,35.8548387096774,22.5612903225806
"185",5,2008,26.1303779331532,33.1806451612903,19.4677419354839
"186",5,2009,30.5551589307985,36.8774193548387,23.641935483871
"187",5,2010,26.1097933624074,33.1645161290323,18.8483870967742
"188",5,2011,26.324064068836,33.2709677419355,19.3806451612903
"189",5,2012,29.5190295096079,36.6806451612903,22.0290322580645
"190",5,2013,29.3159145081837,35.4741935483871,22.4612903225806
"191",5,2014,28.8135008595409,35.5709677419355,22.0387096774194
"192",5,2015,26.1092952475852,32.6645161290323,20.0548387096774
"193",5,2016,26.8098275862069,33.5451612903226,20.3032258064516
"194",5,2017,27.9637570514858,35.2290322580645,21.1129032258065
"195",5,2018,28.9781435869367,35.841935483871,21.6774193548387
"196",6,1980,32.4356944444444,40.32,23.6
"197",6,1981,34.7468055555556,41.53,27.32
"198",6,1982,31.6555555555556,39,23.4766666666667
"199",6,1983,31.9711111111111,39.24,23.8533333333333
"200",6,1984,32.3795833333333,39.4633333333333,25.3633333333333
"201",6,1985,33.8391666666667,41.46,26.1133333333333
"202",6,1986,33.9283333333333,40.96,26.9833333333333
"203",6,1987,34.05125,41.3733333333333,26.5733333333333
"204",6,1988,33.9356944444444,41.49,26.83
"205",6,1989,33.6177777777778,40.9466666666667,25.9866666666667
"206",6,1990,34.5231944444444,42.3033333333333,27.04
"207",6,1991,31.1405555555556,38.18,24.18
"208",6,1992,32.4495833333333,39.52,25.33
"209",6,1993,32.3593055555556,39.6166666666667,24.9466666666667
"210",6,1994,33.8755611111111,41.3033333333333,26.24
"211",6,1995,30.6997111111111,38.3166666666667,22.7833333333333
"212",6,1996,33.8236112432388,40.9133333333333,26.13
"213",6,1997,31.5538256410256,37.9933333333333,24.2633333333333
"214",6,1998,30.2307269230769,37.3566666666667,22.5666666666667
"215",6,1999,32.0545528985507,38.1866666666667,25.4166666666667
"216",6,2000,33.0386261607323,39.7066666666667,26.5266666666667
"217",6,2001,33.7451477790258,40.71,26.5
"218",6,2002,34.618569491577,41.6833333333333,26.5866666666667
"219",6,2003,33.6081146641779,40.3933333333333,26.1033333333333
"220",6,2004,33.3968935693936,40.1,25.78
"221",6,2005,32.7546621168582,39.3066666666667,25.6266666666667
"222",6,2006,35.0124542556835,41.8,28.0166666666667
"223",6,2007,34.0940255731922,40.97,26.85
"224",6,2008,34.3899865689866,41.5266666666667,26.79
"225",6,2009,31.6844364726239,37.7,25.5766666666667
"226",6,2010,33.3547356343909,40.16,25.89
"227",6,2011,33.2787356321839,40.0433333333333,25.6266666666667
"228",6,2012,34.8446810103352,41.1933333333333,27.4833333333333
"229",6,2013,35.4739983579639,42.2166666666667,27.6333333333333
"230",6,2014,34.6541666666667,41.04,27.2433333333333
"231",6,2015,34.7421393895855,41.2433333333333,28.2466666666667
"232",6,2016,35.2350556301936,42.04,28.3466666666667
"233",6,2017,35.1353501957812,42.21,27.8166666666667
"234",6,2018,34.0262245608797,40.95,26.72
"235",7,1980,35.6168709677419,42.6290322580645,29.1064516129032
"236",7,1981,35.1635752688172,41.5645161290323,29.7677419354839
"237",7,1982,34.3354838709677,40.7903225806452,28.3193548387097
"238",7,1983,35.2634408602151,41.7451612903226,28.8870967741935
"239",7,1984,33.3909946236559,39.6483870967742,28.3161290322581
"240",7,1985,35.2213709677419,41.7709677419355,28.8967741935484
"241",7,1986,33.4352150537634,40.2064516129032,27.4322580645161
"242",7,1987,34.0864247311828,41.4741935483871,27.0709677419355
"243",7,1988,35.6041666666667,42.1516129032258,29.6
"244",7,1989,36.3028225806452,43.4290322580645,29.9225806451613
"245",7,1990,34.4024193548387,40.8483870967742,28.6935483870968
"246",7,1991,35.1208333333333,41.3451612903226,29.0129032258065
"247",7,1992,33.9254032258064,40.7967741935484,27.7838709677419
"248",7,1993,33.969623655914,40.1806451612903,27.6
"249",7,1994,34.7287801016188,41.0741935483871,28.2387096774194
"250",7,1995,35.1108320598159,41.9451612903226,27.9322580645161
"251",7,1996,35.2064993211013,41.4193548387097,29.5225806451613
"252",7,1997,34.6546198419263,41.1225806451613,28.0516129032258
"253",7,1998,34.8487620367315,41.4677419354839,28.9806451612903
"254",7,1999,32.6427671243607,38.7903225806452,27.8322580645161
"255",7,2000,35.5146702888429,41.4709677419355,29.2
"256",7,2001,34.6673968883257,40.8258064516129,29.3387096774194
"257",7,2002,35.7012901961055,41.8612903225806,30.0645161290323
"258",7,2003,36.6609959037378,43.0193548387097,30.5806451612903
"259",7,2004,34.9073276484567,41.3032258064516,28.7774193548387
